instance_id,sample_id,smell,severity_consensus,repository,original_commit_hash,commit_remapped,effective_commit_hash,path_at_label,code_name,join_level,wmc,cbo,dit,noc,rfc,lcom,loc,total_methods,total_fields,method_cyclomatic_complexity,ck_version
4131952::blob,4131952,blob,critical,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/util/ImmutableBitSet.java,org.apache.calcite.util.ImmutableBitSet,class_fqcn,145,12,2,0,63,1085,664,55,9,,0.7.0
4131952::data class,4131952,data class,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/util/ImmutableBitSet.java,org.apache.calcite.util.ImmutableBitSet,class_fqcn,145,12,2,0,63,1085,664,55,9,,0.7.0
4132083::feature envy,4132083,feature envy,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/sql/SqlSetOperator.java,org.apache.calcite.sql.SqlSetOperator.SqlSetOperator String|SqlKind|int|boolean,method_fqcn+name+arity,,1,,,0,,4,,,1,0.7.0
4132083::long method,4132083,long method,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/sql/SqlSetOperator.java,org.apache.calcite.sql.SqlSetOperator.SqlSetOperator String|SqlKind|int|boolean,method_fqcn+name+arity,,1,,,0,,4,,,1,0.7.0
4132362::feature envy,4132362,feature envy,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/sql/type/SqlTypeExplicitPrecedenceList.java,org.apache.calcite.sql.type.SqlTypeExplicitPrecedenceList#compareTypePrecedence RelDataType|RelDataType,method_fqcn+name+arity,,2,,,3,,7,,,1,0.7.0
4132362::long method,4132362,long method,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/sql/type/SqlTypeExplicitPrecedenceList.java,org.apache.calcite.sql.type.SqlTypeExplicitPrecedenceList#compareTypePrecedence RelDataType|RelDataType,method_fqcn+name+arity,,2,,,3,,7,,,1,0.7.0
4135214::feature envy,4135214,feature envy,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/rel/metadata/RelMdPredicates.java,org.apache.calcite.rel.metadata.RelMdPredicates.JoinConditionBasedPredicateInference.ExprsItr#hasNext,method_fqcn+name+arity,,1,,,2,,10,,,3,0.7.0
4135214::long method,4135214,long method,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/rel/metadata/RelMdPredicates.java,org.apache.calcite.rel.metadata.RelMdPredicates.JoinConditionBasedPredicateInference.ExprsItr#hasNext,method_fqcn+name+arity,,1,,,2,,10,,,3,0.7.0
4135708::blob,4135708,blob,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/tools/Programs.java,org.apache.calcite.tools.Programs.DecorrelateProgram,class_fqcn,3,8,1,0,6,0,10,1,0,,0.7.0
4135708::data class,4135708,data class,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/tools/Programs.java,org.apache.calcite.tools.Programs.DecorrelateProgram,class_fqcn,3,8,1,0,6,0,10,1,0,,0.7.0
4136680::blob,4136680,blob,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableProjectToCalcRule.java,org.apache.calcite.adapter.enumerable.EnumerableProjectToCalcRule,class_fqcn,2,9,2,0,11,1,12,2,0,,0.7.0
4136680::data class,4136680,data class,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableProjectToCalcRule.java,org.apache.calcite.adapter.enumerable.EnumerableProjectToCalcRule,class_fqcn,2,9,2,0,11,1,12,2,0,,0.7.0
4137834::feature envy,4137834,feature envy,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcRules.java,org.apache.calcite.adapter.jdbc.JdbcRules.JdbcProject#computeSelfCost RelOptPlanner|RelMetadataQuery,method_fqcn+name+arity,,3,,,2,,3,,,1,0.7.0
4137834::long method,4137834,long method,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcRules.java,org.apache.calcite.adapter.jdbc.JdbcRules.JdbcProject#computeSelfCost RelOptPlanner|RelMetadataQuery,method_fqcn+name+arity,,3,,,2,,3,,,1,0.7.0
4138124::feature envy,4138124,feature envy,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/sql/validate/SqlValidatorImpl.java,org.apache.calcite.sql.validate.SqlValidatorImpl.Expander#visit SqlIdentifier,method_fqcn+name+arity,,8,,,7,,10,,,2,0.7.0
4138124::long method,4138124,long method,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/sql/validate/SqlValidatorImpl.java,org.apache.calcite.sql.validate.SqlValidatorImpl.Expander#visit SqlIdentifier,method_fqcn+name+arity,,8,,,7,,10,,,2,0.7.0
4139640::feature envy,4139640,feature envy,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/schema/impl/ModifiableViewTable.java,org.apache.calcite.schema.impl.ModifiableViewTable.ModifiableViewTableInitializerExpressionFactory#generationStrategy RelOptTable|int,method_fqcn+name+arity,,7,,,6,,17,,,5,0.7.0
4139640::long method,4139640,long method,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/schema/impl/ModifiableViewTable.java,org.apache.calcite.schema.impl.ModifiableViewTable.ModifiableViewTableInitializerExpressionFactory#generationStrategy RelOptTable|int,method_fqcn+name+arity,,7,,,6,,17,,,5,0.7.0
4139979::blob,4139979,blob,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/rel/core/RelFactories.java,org.apache.calcite.rel.core.RelFactories.CorrelateFactoryImpl,class_fqcn,1,5,1,0,1,0,5,1,0,,0.7.0
4139979::data class,4139979,data class,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/rel/core/RelFactories.java,org.apache.calcite.rel.core.RelFactories.CorrelateFactoryImpl,class_fqcn,1,5,1,0,1,0,5,1,0,,0.7.0
4140046::feature envy,4140046,feature envy,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/rel/rules/ReduceDecimalsRule.java,org.apache.calcite.rel.rules.ReduceDecimalsRule.RexExpander#makeMultiply RexNode|RexNode,method_fqcn+name+arity,,1,,,1,,3,,,1,0.7.0
4140046::long method,4140046,long method,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/rel/rules/ReduceDecimalsRule.java,org.apache.calcite.rel.rules.ReduceDecimalsRule.RexExpander#makeMultiply RexNode|RexNode,method_fqcn+name+arity,,1,,,1,,3,,,1,0.7.0
4140191::feature envy,4140191,feature envy,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/linq4j/src/main/java/org/apache/calcite/linq4j/QueryableDefaults.java,"org.apache.calcite.linq4j.QueryableDefaults.selectManyN Queryable<T>|FunctionExpression<Function2<T, Integer, Enumerable<TResult>>>",method_fqcn+name+arity,,7,,,1,,3,,,1,0.7.0
4140191::long method,4140191,long method,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/linq4j/src/main/java/org/apache/calcite/linq4j/QueryableDefaults.java,"org.apache.calcite.linq4j.QueryableDefaults.selectManyN Queryable<T>|FunctionExpression<Function2<T, Integer, Enumerable<TResult>>>",method_fqcn+name+arity,,7,,,1,,3,,,1,0.7.0
4140914::feature envy,4140914,feature envy,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/jdbc/CalciteSchema.java,org.apache.calcite.jdbc.CalciteSchema.SchemaPlusImpl#getFunctions String,method_fqcn+name+arity,,2,,,1,,3,,,1,0.7.0
4140914::long method,4140914,long method,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/jdbc/CalciteSchema.java,org.apache.calcite.jdbc.CalciteSchema.SchemaPlusImpl#getFunctions String,method_fqcn+name+arity,,2,,,1,,3,,,1,0.7.0
4141778::blob,4141778,blob,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcRules.java,org.apache.calcite.adapter.jdbc.JdbcRules.JdbcValues,class_fqcn,3,10,3,0,3,3,12,3,0,,0.7.0
4141778::data class,4141778,data class,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcRules.java,org.apache.calcite.adapter.jdbc.JdbcRules.JdbcValues,class_fqcn,3,10,3,0,3,3,12,3,0,,0.7.0
4142085::blob,4142085,blob,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/sql/SqlDialect.java,org.apache.calcite.sql.SqlDialect.Context,class_fqcn,18,6,1,0,0,153,20,18,0,,0.7.0
4142085::data class,4142085,data class,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/sql/SqlDialect.java,org.apache.calcite.sql.SqlDialect.Context,class_fqcn,18,6,1,0,0,153,20,18,0,,0.7.0
4144417::feature envy,4144417,feature envy,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/rel/rules/JoinCommuteRule.java,org.apache.calcite.rel.rules.JoinCommuteRule.swap Join,method_fqcn+name+arity,,3,,,3,,3,,,1,0.7.0
4144417::long method,4144417,long method,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/rel/rules/JoinCommuteRule.java,org.apache.calcite.rel.rules.JoinCommuteRule.swap Join,method_fqcn+name+arity,,3,,,3,,3,,,1,0.7.0
4144475::feature envy,4144475,feature envy,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/rex/RexShuttle.java,org.apache.calcite.rex.RexShuttle#visitFieldCollations List<RexFieldCollation>|boolean[],method_fqcn+name+arity,,4,,,4,,12,,,4,0.7.0
4144475::long method,4144475,long method,none,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,False,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/rex/RexShuttle.java,org.apache.calcite.rex.RexShuttle#visitFieldCollations List<RexFieldCollation>|boolean[],method_fqcn+name+arity,,4,,,4,,12,,,4,0.7.0
8190652::blob,8190652,blob,none,git@github.com:apache/commons-jelly.git,48c008cc2328402e0976295625b32c5197ba2324,False,48c008cc2328402e0976295625b32c5197ba2324,/core/src/main/java/org/apache/commons/jelly/tags/core/NewTag.java,org.apache.commons.jelly.tags.core.NewTag,class_fqcn,15,8,3,0,13,4,66,5,4,,0.7.0
8190652::data class,8190652,data class,none,git@github.com:apache/commons-jelly.git,48c008cc2328402e0976295625b32c5197ba2324,False,48c008cc2328402e0976295625b32c5197ba2324,/core/src/main/java/org/apache/commons/jelly/tags/core/NewTag.java,org.apache.commons.jelly.tags.core.NewTag,class_fqcn,15,8,3,0,13,4,66,5,4,,0.7.0
8192330::blob,8192330,blob,none,git@github.com:apache/commons-jelly.git,48c008cc2328402e0976295625b32c5197ba2324,False,48c008cc2328402e0976295625b32c5197ba2324,/jelly-tags/util/src/main/java/org/apache/commons/jelly/tags/util/FileTag.java,org.apache.commons.jelly.tags.util.FileTag,class_fqcn,5,4,2,0,2,0,21,3,2,,0.7.0
8192330::data class,8192330,data class,none,git@github.com:apache/commons-jelly.git,48c008cc2328402e0976295625b32c5197ba2324,False,48c008cc2328402e0976295625b32c5197ba2324,/jelly-tags/util/src/main/java/org/apache/commons/jelly/tags/util/FileTag.java,org.apache.commons.jelly.tags.util.FileTag,class_fqcn,5,4,2,0,2,0,21,3,2,,0.7.0
8192759::blob,8192759,blob,none,git@github.com:apache/commons-jelly.git,48c008cc2328402e0976295625b32c5197ba2324,False,48c008cc2328402e0976295625b32c5197ba2324,/jelly-tags/define/src/main/java/org/apache/commons/jelly/tags/define/TagTag.java,org.apache.commons.jelly.tags.define.TagTag,class_fqcn,4,5,3,0,4,4,14,4,1,,0.7.0
8192759::data class,8192759,data class,minor,git@github.com:apache/commons-jelly.git,48c008cc2328402e0976295625b32c5197ba2324,False,48c008cc2328402e0976295625b32c5197ba2324,/jelly-tags/define/src/main/java/org/apache/commons/jelly/tags/define/TagTag.java,org.apache.commons.jelly.tags.define.TagTag,class_fqcn,4,5,3,0,4,4,14,4,1,,0.7.0
4300952::feature envy,4300952,feature envy,none,git@github.com:apache/directory-kerby.git,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,False,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,/kerby-kerb/kerb-identity/src/main/java/org/apache/kerby/kerberos/kerb/identity/CacheableIdentityService.java,org.apache.kerby.kerberos.kerb.identity.CacheableIdentityService#getIdentity String,method_fqcn+name+arity,,2,,,4,,10,,,3,0.7.0
4300952::long method,4300952,long method,none,git@github.com:apache/directory-kerby.git,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,False,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,/kerby-kerb/kerb-identity/src/main/java/org/apache/kerby/kerberos/kerb/identity/CacheableIdentityService.java,org.apache.kerby.kerberos.kerb.identity.CacheableIdentityService#getIdentity String,method_fqcn+name+arity,,2,,,4,,10,,,3,0.7.0
4301023::blob,4301023,blob,none,git@github.com:apache/directory-kerby.git,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,False,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,/kerby-kerb/kerb-gssapi/src/main/java/org/apache/kerby/kerberos/kerb/gss/impl/GssInitCred.java,org.apache.kerby.kerberos.kerb.gss.impl.GssInitCred,class_fqcn,9,7,2,0,10,5,33,6,2,,0.7.0
4301023::data class,4301023,data class,none,git@github.com:apache/directory-kerby.git,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,False,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,/kerby-kerb/kerb-gssapi/src/main/java/org/apache/kerby/kerberos/kerb/gss/impl/GssInitCred.java,org.apache.kerby.kerberos.kerb.gss.impl.GssInitCred,class_fqcn,9,7,2,0,10,5,33,6,2,,0.7.0
4301165::feature envy,4301165,feature envy,none,git@github.com:apache/directory-kerby.git,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,False,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,/kerby-kerb/kerb-gssapi/src/main/java/org/apache/kerby/kerberos/kerb/gss/impl/GssEncryptor.java,org.apache.kerby.kerberos.kerb.gss.impl.GssEncryptor#decryptData byte[]|int,method_fqcn+name+arity,,5,,,5,,11,,,2,0.7.0
4301165::long method,4301165,long method,none,git@github.com:apache/directory-kerby.git,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,False,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,/kerby-kerb/kerb-gssapi/src/main/java/org/apache/kerby/kerberos/kerb/gss/impl/GssEncryptor.java,org.apache.kerby.kerberos.kerb.gss.impl.GssEncryptor#decryptData byte[]|int,method_fqcn+name+arity,,5,,,5,,11,,,2,0.7.0
4301341::feature envy,4301341,feature envy,none,git@github.com:apache/directory-kerby.git,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,False,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,/kerby-kerb/kerb-gssapi/src/main/java/org/apache/kerby/kerberos/kerb/gss/GssMechFactory.java,org.apache.kerby.kerberos.kerb.gss.GssMechFactory#getCredentialElement GSSNameSpi|int|int|int,method_fqcn+name+arity,,7,,,5,,19,,,6,0.7.0
4301341::long method,4301341,long method,none,git@github.com:apache/directory-kerby.git,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,False,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,/kerby-kerb/kerb-gssapi/src/main/java/org/apache/kerby/kerberos/kerb/gss/GssMechFactory.java,org.apache.kerby.kerberos.kerb.gss.GssMechFactory#getCredentialElement GSSNameSpi|int|int|int,method_fqcn+name+arity,,7,,,5,,19,,,6,0.7.0
4301429::feature envy,4301429,feature envy,none,git@github.com:apache/directory-kerby.git,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,False,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,/kerby-common/kerby-xdr/src/main/java/org/apache/kerby/xdr/type/XdrEnumerated.java,org.apache.kerby.xdr.type.XdrEnumerated#toBytes,method_fqcn+name+arity,,4,,,6,,4,,,1,0.7.0
4301429::long method,4301429,long method,none,git@github.com:apache/directory-kerby.git,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,False,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,/kerby-common/kerby-xdr/src/main/java/org/apache/kerby/xdr/type/XdrEnumerated.java,org.apache.kerby.xdr.type.XdrEnumerated#toBytes,method_fqcn+name+arity,,4,,,6,,4,,,1,0.7.0
4301441::feature envy,4301441,feature envy,none,git@github.com:apache/directory-kerby.git,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,False,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,/kerby-kerb/kerb-common/src/main/java/org/apache/kerby/kerberos/kerb/common/KrbUtil.java,org.apache.kerby.kerberos.kerb.common.KrbUtil.pricipalCompareIgnoreRealm PrincipalName|PrincipalName,method_fqcn+name+arity,,2,,,3,,15,,,4,0.7.0
4301441::long method,4301441,long method,none,git@github.com:apache/directory-kerby.git,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,False,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,/kerby-kerb/kerb-common/src/main/java/org/apache/kerby/kerberos/kerb/common/KrbUtil.java,org.apache.kerby.kerberos.kerb.common.KrbUtil.pricipalCompareIgnoreRealm PrincipalName|PrincipalName,method_fqcn+name+arity,,2,,,3,,15,,,4,0.7.0
4301941::feature envy,4301941,feature envy,none,git@github.com:apache/directory-kerby.git,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,False,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,/kerby-kerb/kerb-admin-server/src/main/java/org/apache/kerby/kerberos/kerb/admin/server/kadmin/AdminServerContext.java,org.apache.kerby.kerberos.kerb.admin.server.kadmin.AdminServerContext#getAdminRealm,method_fqcn+name+arity,,1,,,1,,3,,,1,0.7.0
4301941::long method,4301941,long method,none,git@github.com:apache/directory-kerby.git,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,False,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,/kerby-kerb/kerb-admin-server/src/main/java/org/apache/kerby/kerberos/kerb/admin/server/kadmin/AdminServerContext.java,org.apache.kerby.kerberos.kerb.admin.server.kadmin.AdminServerContext#getAdminRealm,method_fqcn+name+arity,,1,,,1,,3,,,1,0.7.0
4301991::feature envy,4301991,feature envy,none,git@github.com:apache/directory-kerby.git,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,False,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,/kerby-kerb/kerb-core/src/main/java/org/apache/kerby/kerberos/kerb/type/ad/ADIntendedForApplicationClass.java,org.apache.kerby.kerberos.kerb.type.ad.ADIntendedForApplicationClass.IntendedForApplicationClass#getAuthzData,method_fqcn+name+arity,,2,,,1,,6,,,2,0.7.0
4301991::long method,4301991,long method,none,git@github.com:apache/directory-kerby.git,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,False,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,/kerby-kerb/kerb-core/src/main/java/org/apache/kerby/kerberos/kerb/type/ad/ADIntendedForApplicationClass.java,org.apache.kerby.kerberos.kerb.type.ad.ADIntendedForApplicationClass.IntendedForApplicationClass#getAuthzData,method_fqcn+name+arity,,2,,,1,,6,,,2,0.7.0
4302252::feature envy,4302252,feature envy,none,git@github.com:apache/directory-kerby.git,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,False,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,/kerby-kerb/kerb-crypto/src/main/java/org/apache/kerby/kerberos/kerb/crypto/cksum/HmacSha1Aes256CheckSum.java,org.apache.kerby.kerberos.kerb.crypto.cksum.HmacSha1Aes256CheckSum#confounderSize,method_fqcn+name+arity,,0,,,0,,3,,,1,0.7.0
4302252::long method,4302252,long method,none,git@github.com:apache/directory-kerby.git,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,False,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,/kerby-kerb/kerb-crypto/src/main/java/org/apache/kerby/kerberos/kerb/crypto/cksum/HmacSha1Aes256CheckSum.java,org.apache.kerby.kerberos.kerb.crypto.cksum.HmacSha1Aes256CheckSum#confounderSize,method_fqcn+name+arity,,0,,,0,,3,,,1,0.7.0
4302392::feature envy,4302392,feature envy,none,git@github.com:apache/directory-kerby.git,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,False,19fa650424f60d23d1c1bf0af4bb80ffcb8d8843,/kerby-common/kerby-asn1/src/main/java/org/apache/kerby/asn1/type/Asn1Eoc.java,org.apache.kerby.asn1.type.Asn1Eoc#toString,method_fqcn+name+arity,,3,,,4,,4,,,1,0.7.0
